Customer_ID,Age,Gender,Annual_Income,Spending_Score,Purchase_Frequency,Total_Purchase_Amount
C0001,58,Male,23278.0,95.0,9,19854.0
C0002,32,Male,86249.0,14.0,22,102674.0
C0003,23,Other,75302.0,5.0,1,967.0
C0004,31,Male,86237.0,78.0,1,4797.0
C0005,30,Other,105181.0,90.0,18,65448.0
C0006,32,Female,97236.0,36.0,26,6578.0
C0007,46,Male,111506.0,55.0,11,27236.0
C0008,27,Male,145463.0,98.0,11,11407.0
C0009,23,Female,32676.0,46.0,28,84476.0
C0010,46,Female,125791.0,6.0,24,95112.0
C0011,52,Male,147548.0,49.0,3,14166.0
C0012,36,Other,101070.0,47.0,19,33725.0
C0013,63,Male,26006.0,85.0,8,20560.0
C0014,23,Male,133571.0,13.0,13,32201.0
C0015,47,Other,129328.0,47.0,6,19392.0
C0016,40,Male,107841.0,35.0,23,18032.0
C0017,56,Other,42431.0,69.0,24,52920.0
C0018,28,Female,69735.0,35.0,30,142860.0
C0019,32,Other,62504.0,99.0,25,16450.0
C0020,32,Male,125518.0,41.0,13,31109.0
C0021,22,Male,139686.0,73.0,29,80533.0
C0022,31,Other,85435.0,51.0,29,114782.0
C0023,27,Female,38301.0,32.0,24,115152.0
C0024,52,Female,117912.0,75.0,14,69720.0
C0025,46,Female,48746.0,18.0,17,72114.0
C0026,23,Male,132866.0,15.0,5,7550.0
C0027,68,Other,75333.0,77.0,3,10056.0
C0028,42,Other,81348.0,68.0,9,42588.0
C0029,18,Other,114466.0,15.0,22,101156.0
C0030,66,Female,120741.0,83.0,11,12243.0
C0031,36,Female,40730.0,59.0,1,2357.0
C0032,50,Male,86542.0,14.0,28,74032.0
C0033,58,Other,99818.0,26.0,5,16315.0
C0034,66,Male,90697.0,100.0,30,136320.0
C0035,18,Other,62487.0,63.0,1,1116.0
C0036,41,Female,51385.0,8.0,8,38776.0
C0037,23,Male,115932.0,63.0,27,20682.0
C0038,66,Other,120379.0,17.0,5,20465.0
C0039,53,Male,54741.0,68.0,28,102648.0
C0040,31,Other,118994.0,94.0,23,42481.0
C0041,63,Female,72296.0,86.0,21,68439.0
C0042,46,Other,79177.0,16.0,8,16320.0
C0043,22,Female,22757.0,76.0,18,37530.0
C0044,55,Male,20942.0,10.0,23,15686.0
C0045,32,Other,138675.0,5.0,28,81368.0
C0046,22,Other,51195.0,36.0,22,91872.0
C0047,31,Other,37342.0,93.0,30,146310.0
C0048,54,Female,51850.0,61.0,26,91884.0
C0049,30,Male,32704.0,85.0,14,43428.0
C0050,45,Female,81213.0,94.0,2,2012.0
C0051,21,Female,115448.0,44.0,26,28470.0
C0052,33,Male,44931.0,69.0,15,20220.0
C0053,45,Male,56509.0,60.0,8,6536.0
C0054,46,Other,32833.0,7.0,21,97188.0
C0055,18,Male,141420.0,97.0,28,59808.0
C0056,28,Female,83653.0,62.0,7,24395.0
C0057,21,Male,69672.0,1.0,13,30836.0
C0058,68,Female,57388.0,55.0,23,109296.0
C0059,60,Other,83788.0,20.0,7,18410.0
C0060,31,Male,95914.0,95.0,18,12582.0
C0061,65,Female,27492.0,7.0,19,77995.0
C0062,50,Other,86249.0,8.0,17,14552.0
C0063,29,Male,97992.0,9.0,22,46772.0
C0064,43,Male,143416.0,73.0,15,39536.0
C0065,56,Male,101183.0,11.0,14,69734.0
C0066,54,Other,61467.0,34.0,7,19411.0
C0067,33,Female,71876.0,17.0,22,58454.0
C0068,47,Female,141768.0,97.0,30,23820.0
C0069,18,Female,101416.0,73.0,4,3200.0
C0070,52,Male,86307.0,34.0,5,15295.0
C0071,22,Male,68434.0,37.0,6,22734.0
C0072,52,Other,59651.0,79.0,26,117858.0
C0073,18,Other,127099.0,71.0,10,10480.0
C0074,26,Female,35129.0,14.0,24,113568.0
C0075,27,Female,56930.0,78.0,7,21056.0
C0076,31,Other,103130.0,34.0,17,71434.0
C0077,46,Male,32097.0,82.0,14,34524.0
C0078,20,Male,63719.0,99.0,5,11725.0
C0079,28,Other,77912.0,71.0,23,85169.0
C0080,53,Male,34663.0,10.0,29,41209.0
C0081,52,Male,129392.0,48.0,19,89794.0
C0082,27,Female,36704.0,6.0,10,31870.0
C0083,68,Male,137823.0,46.0,7,15708.0
C0084,60,Male,66357.0,100.0,18,63522.0
C0085,57,Other,40257.0,31.0,28,42868.0
C0086,69,Male,135528.0,53.0,1,1669.0
C0087,65,Female,122548.0,54.0,26,58032.0
C0088,35,Male,123202.0,90.0,4,13332.0
C0089,20,Female,49154.0,26.0,27,107190.0
C0090,40,Female,127549.0,30.0,8,3144.0
C0091,60,Male,72227.0,43.0,9,6912.0
C0092,67,Female,66025.0,83.0,17,59058.0
C0093,61,Other,63404.0,4.0,4,9356.0
C0094,29,Other,146161.0,34.0,2,2176.0
C0095,56,Female,65309.0,94.0,26,71994.0
C0096,46,Other,149005.0,66.0,4,13420.0
C0097,54,Male,53386.0,6.0,23,86756.0
C0098,46,Other,141316.0,69.0,22,39908.0
C0099,41,Female,29171.0,86.0,30,87120.0
C0100,57,Female,106951.0,16.0,24,63840.0
C0101,50,Female,107410.0,53.0,11,38456.0
C0102,62,Female,92667.0,17.0,7,25508.0
C0103,60,Female,108777.0,96.0,29,47125.0
C0104,57,Other,59446.0,52.0,18,3654.0
C0105,37,Female,47549.0,56.0,26,128726.0
C0106,56,Other,62237.0,60.0,15,57330.0
C0107,61,Male,87000.0,54.0,26,41340.0
C0108,60,Male,57196.0,66.0,22,64790.0
C0109,23,Male,108184.0,40.0,8,14648.0
C0110,27,Male,26057.0,32.0,16,12736.0
C0111,47,Female,136147.0,81.0,19,34048.0
C0112,63,Other,70328.0,64.0,13,28574.0
C0113,27,Other,110128.0,1.0,29,31117.0
C0114,67,Female,48683.0,23.0,26,115518.0
C0115,47,Male,93060.0,32.0,30,35820.0
C0116,47,Male,125043.0,60.0,22,100122.0
C0117,53,Other,61588.0,97.0,29,110925.0
C0118,57,Other,136918.0,65.0,14,65632.0
C0119,46,Male,117472.0,61.0,15,34845.0
C0120,66,Male,130082.0,82.0,9,40230.0
C0121,49,Other,51358.0,36.0,15,12510.0
C0122,63,Female,50735.0,35.0,11,31009.0
C0123,52,Male,38136.0,20.0,8,26696.0
C0124,62,Male,112591.0,28.0,3,10794.0
C0125,44,Female,91121.0,60.0,14,9940.0
C0126,31,Female,71049.0,99.0,19,6840.0
C0127,66,Other,69857.0,62.0,1,3081.0
C0128,37,Female,131863.0,54.0,18,84114.0
C0129,69,Other,137677.0,29.0,16,31952.0
C0130,35,Female,83654.0,4.0,13,38389.0
C0131,60,Other,124614.0,52.0,24,37248.0
C0132,47,Male,148545.0,80.0,18,7560.0
C0133,43,Other,93975.0,85.0,1,887.0
C0134,59,Other,37786.0,60.0,6,3666.0
C0135,34,Female,62906.0,28.0,15,43155.0
C0136,39,Female,56471.0,97.0,27,98631.0
C0137,34,Male,86249.0,3.0,24,110832.0
C0138,21,Female,49389.0,84.0,3,1587.0
C0139,66,Male,144467.0,32.0,7,2562.0
C0140,57,Male,51266.0,17.0,16,18192.0
C0141,54,Male,80952.0,90.0,9,28989.0
C0142,28,Other,99593.0,96.0,23,26174.0
C0143,67,Male,146447.0,40.0,4,19760.0
C0144,19,Female,95470.0,87.0,30,98220.0
C0145,43,Other,45995.0,10.0,19,41591.0
C0146,24,Other,121250.0,39.0,28,32296.0
C0147,68,Other,122581.0,6.0,12,54768.0
C0148,45,Other,68571.0,9.0,17,50915.0
C0149,18,Female,127784.0,63.0,4,15004.0
C0150,41,Other,136860.0,59.0,23,33419.0
C0151,45,Male,116180.0,67.0,21,50652.0
C0152,57,Other,121533.0,62.0,15,56520.0
C0153,70,Other,97656.0,35.0,11,24321.0
C0154,23,Female,135557.0,58.0,8,32048.0
C0155,54,Other,107580.0,49.0,15,4785.0
C0156,49,Female,43834.0,63.0,7,21742.0
C0157,69,Female,64608.0,36.0,29,71427.0
C0158,53,Male,87715.0,25.0,3,6531.0
C0159,64,Female,84038.0,72.0,25,54200.0
C0160,62,Female,104659.0,92.0,16,61936.0
C0161,68,Male,32196.0,38.0,8,28096.0
C0162,62,Male,60135.0,85.0,19,61237.0
C0163,48,Other,89588.0,45.0,14,65912.0
C0164,39,Female,112124.0,59.0,9,24399.0
C0165,34,Male,35814.0,93.0,7,19488.0
C0166,25,Other,90236.0,98.0,23,39468.0
C0167,30,Male,116810.0,62.0,9,40473.0
C0168,56,Female,148517.0,13.0,27,48330.0
C0169,36,Male,67301.0,23.0,10,3150.0
C0170,63,Other,36591.0,36.0,2,1292.0
C0171,53,Female,111411.0,17.0,21,88641.0
C0172,24,Male,95243.0,37.0,16,65936.0
C0173,46,Female,44164.0,7.0,9,37017.0
C0174,25,Male,72521.0,63.0,3,14778.0
C0175,58,Other,27026.0,20.0,5,24050.0
C0176,37,Male,52530.0,16.0,18,64962.0
C0177,56,Other,123643.0,80.0,8,35840.0
C0178,42,Female,139079.0,57.0,10,37120.0
C0179,37,Other,101399.0,8.0,20,20240.0
C0180,66,Male,101987.0,28.0,9,7785.0
C0181,28,Male,42782.0,71.0,3,4446.0
C0182,18,Female,79048.0,89.0,20,80980.0
C0183,36,Male,50340.0,37.0,23,57868.0
C0184,62,Female,29329.0,88.0,8,18936.0
C0185,68,Other,97304.0,85.0,26,47320.0
C0186,45,Male,91376.0,29.0,21,29820.0
C0187,35,Male,29359.0,8.0,6,16314.0
C0188,56,Other,128034.0,73.0,30,76920.0
C0189,46,Male,81433.0,89.0,10,34970.0
C0190,35,Other,90776.0,64.0,15,12870.0
C0191,56,Male,136578.0,56.0,24,68160.0
C0192,56,Female,23390.0,12.0,8,39296.0
C0193,55,Male,120238.0,87.0,27,64989.0
C0194,54,Male,120022.0,97.0,6,24324.0
C0195,51,Other,77963.0,36.0,6,29970.0
C0196,45,Other,126724.0,63.0,3,12150.0
C0197,40,Female,63687.0,42.0,22,23232.0
C0198,28,Female,73955.0,89.0,16,40976.0
C0199,60,Female,126635.0,98.0,18,9000.0
C0200,47,Male,61224.0,33.0,11,12639.0
C0201,46,Female,133365.0,66.0,27,5643.0
C0202,60,Other,80552.0,53.0,2,3472.0
C0203,51,Female,101609.0,97.0,16,61136.0
C0204,66,Male,46680.0,35.0,18,22914.0
C0205,36,Female,135454.0,90.0,16,19104.0
C0206,19,Other,99806.0,31.0,23,34431.0
C0207,37,Other,21792.0,71.0,14,13482.0
C0208,32,Male,80482.0,16.0,21,30681.0
C0209,49,Other,58254.0,66.0,23,56097.0
C0210,44,Female,148482.0,61.0,8,31528.0
C0211,53,Male,86249.0,25.0,30,130890.0
C0212,65,Male,133249.0,9.0,9,32391.0
C0213,39,Other,55018.0,1.0,10,26450.0
C0214,55,Other,106499.0,63.0,28,39676.0
C0215,46,Other,83483.0,45.0,11,51931.0
C0216,66,Other,69441.0,59.0,30,85080.0
C0217,30,Other,51300.0,74.0,13,27469.0
C0218,67,Female,25720.0,41.0,24,97776.0
C0219,63,Female,70604.0,85.0,26,37596.0
C0220,49,Male,36547.0,65.0,19,55461.0
C0221,24,Female,33069.0,68.0,30,118290.0
C0222,18,Other,38894.0,53.0,28,40992.0
C0223,22,Female,122436.0,34.0,11,38016.0
C0224,59,Male,131642.0,43.0,28,127988.0
C0225,42,Female,102155.0,92.0,29,121713.0
C0226,52,Male,100931.0,9.0,8,20432.0
C0227,32,Other,31846.0,56.0,4,4092.0
C0228,46,Male,110964.0,39.0,29,12673.0
C0229,20,Female,124352.0,8.0,10,31360.0
C0230,41,Female,39080.0,32.0,17,60775.0
C0231,54,Other,123877.0,24.0,6,9804.0
C0232,23,Other,134142.0,49.0,20,43440.0
C0233,49,Other,38758.0,30.0,15,34200.0
C0234,47,Female,107404.0,2.0,29,116319.0
C0235,36,Other,91643.0,21.0,3,11454.0
C0236,40,Other,59210.0,82.0,14,31472.0
C0237,47,Female,46111.0,50.0,28,116424.0
C0238,24,Male,86249.0,74.0,12,58896.0
C0239,36,Other,58696.0,3.0,27,92934.0
C0240,35,Other,94177.0,88.0,25,15025.0
C0241,56,Other,85107.0,37.0,25,52125.0
C0242,56,Female,48705.0,82.0,7,15771.0
C0243,46,Other,120593.0,85.0,22,29040.0
C0244,46,Male,138410.0,81.0,21,10962.0
C0245,37,Female,24373.0,75.0,12,15312.0
C0246,23,Female,62823.0,96.0,14,22932.0
C0247,30,Male,123089.0,70.0,29,92713.0
C0248,51,Other,139732.0,35.0,27,41769.0
C0249,34,Female,146796.0,38.0,24,71376.0
C0250,69,Male,81385.0,10.0,5,10240.0
C0251,61,Other,108395.0,51.0,28,133420.0
C0252,41,Other,123636.0,51.0,1,2366.0
C0253,52,Male,79609.0,48.0,22,51634.0
C0254,55,Female,127795.0,82.0,12,13044.0
C0255,61,Male,81797.0,4.0,20,95980.0
C0256,38,Other,49015.0,83.0,3,12009.0
C0257,62,Female,105097.0,53.0,4,5380.0
C0258,20,Male,59893.0,64.0,4,3984.0
C0259,33,Other,37781.0,50.0,15,48585.0
C0260,60,Other,111289.0,70.0,14,20510.0
C0261,44,Other,32978.0,63.0,20,70860.0
C0262,35,Male,110476.0,48.0,7,26824.0
C0263,46,Male,132125.0,47.0,4,12836.0
C0264,52,Other,67012.0,8.0,13,31980.0
C0265,30,Male,144388.0,59.0,3,5811.0
C0266,59,Other,98269.0,3.0,2,5864.0
C0267,33,Male,123150.0,73.0,7,5334.0
C0268,46,Other,47152.0,76.0,7,14756.0
C0269,39,Male,123369.0,77.0,1,2471.0
C0270,27,Male,90807.0,33.0,26,42354.0
C0271,25,Other,133567.0,4.0,5,1605.0
C0272,40,Male,97182.0,42.0,1,1627.0
C0273,34,Male,36614.0,95.0,14,63126.0
C0274,25,Other,28330.0,61.0,15,47475.0
C0275,50,Other,34293.0,58.0,17,34238.0
C0276,57,Male,115321.0,85.0,17,45390.0
C0277,47,Other,146356.0,4.0,2,8246.0
C0278,43,Female,109928.0,14.0,16,61328.0
C0279,22,Other,62219.0,78.0,5,3690.0
C0280,26,Female,101830.0,82.0,19,89148.0
C0281,63,Female,69925.0,77.0,17,44455.0
C0282,47,Other,99354.0,56.0,4,4548.0
C0283,59,Other,135042.0,99.0,18,35298.0
C0284,45,Female,136403.0,30.0,14,41664.0
C0285,70,Female,72262.0,54.0,24,23472.0
C0286,38,Female,60963.0,86.0,9,29394.0
C0287,27,Other,140977.0,61.0,15,2841.0
C0288,23,Male,76606.0,13.0,24,78048.0
C0289,69,Male,92924.0,8.0,19,91200.0
C0290,53,Female,107819.0,16.0,14,43344.0
C0291,60,Female,133782.0,93.0,2,5112.0
C0292,56,Female,66090.0,14.0,19,82764.0
C0293,31,Male,106079.0,62.0,8,8688.0
C0294,40,Other,68176.0,15.0,25,62050.0
C0295,54,Male,125804.0,55.0,28,134260.0
C0296,67,Other,100422.0,87.0,21,99960.0
C0297,19,Other,141776.0,85.0,27,64530.0
C0298,19,Male,55818.0,90.0,25,68275.0
C0299,39,Female,20800.0,54.0,28,38444.0
C0300,54,Other,72531.0,9.0,5,2255.0
C0301,23,Other,89531.0,28.0,13,47307.0
